                              Open     High      Low    Close     upper  \
Date                                                                      
2023-02-10 16:25:00+00:00  1.06790  1.06790  1.06766  1.06774  1.068771   
2023-02-10 16:26:00+00:00  1.06774  1.06774  1.06752  1.06758  1.068740   
2023-02-10 16:27:00+00:00  1.06759  1.06770  1.06754  1.06758  1.068710   
2023-02-10 16:28:00+00:00  1.06758  1.06776  1.06748  1.06774  1.068641   
2023-02-10 16:29:00+00:00  1.06774  1.06774  1.06756  1.06756  1.068577   
2023-02-10 16:30:00+00:00  1.06754  1.06776  1.06754  1.06774  1.068533   
2023-02-10 16:31:00+00:00  1.06776  1.06788  1.06776  1.06783  1.068413   
2023-02-10 16:32:00+00:00  1.06782  1.06782  1.06766  1.06771  1.068319   
2023-02-10 16:33:00+00:00  1.06770  1.06783  1.06756  1.06774  1.068274   
2023-02-10 16:34:00+00:00  1.06775  1.06776  1.06764  1.06771  1.068197   
2023-02-10 16:35:00+00:00  1.06770  1.06795  1.06768  1.06788  1.068127   
2023-02-10 16:36:00+00:00  1.06790  1.06792  1.06780  1.06783  1.068034   
2023-02-10 16:37:00+00:00  1.06784  1.06786  1.06771  1.06780  1.067972   
2023-02-10 16:38:00+00:00  1.06778  1.06779  1.06764  1.06770  1.067950   
2023-02-10 16:39:00+00:00  1.06770  1.06774  1.06738  1.06744  1.067958   
2023-02-10 16:40:00+00:00  1.06744  1.06759  1.06738  1.06744  1.067972   
2023-02-10 16:41:00+00:00  1.06746  1.06748  1.06742  1.06748  1.067980   
2023-02-10 16:42:00+00:00  1.06746  1.06756  1.06738  1.06746  1.067985   
2023-02-10 16:43:00+00:00  1.06746  1.06755  1.06728  1.06734  1.067983   
2023-02-10 16:44:00+00:00  1.06734  1.06740  1.06720  1.06740  1.067954   
2023-02-10 16:45:00+00:00  1.06740  1.06747  1.06728  1.06732  1.067957   
2023-02-10 16:46:00+00:00  1.06730  1.06734  1.06724  1.06733  1.067966   
2023-02-10 16:47:00+00:00  1.06736  1.06736  1.06722  1.06730  1.067975   
2023-02-10 16:48:00+00:00  1.06730  1.06730  1.06714  1.06716  1.067981   
2023-02-10 16:49:00+00:00  1.06716  1.06716  1.06690  1.06704  1.068012   
2023-02-10 16:50:00+00:00  1.06706  1.06710  1.06696  1.06702  1.068014   
2023-02-10 16:51:00+00:00  1.06703  1.06726  1.06703  1.06724  1.067973   
2023-02-10 16:52:00+00:00  1.06722  1.06724  1.06698  1.06700  1.067963   
2023-02-10 16:53:00+00:00  1.06700  1.06712  1.06700  1.06707  1.067932   
2023-02-10 16:54:00+00:00  1.06705  1.06718  1.06702  1.06709  1.067897   
2023-02-10 16:55:00+00:00  1.06708  1.06714  1.06708  1.06710  1.067814   
2023-02-10 16:56:00+00:00  1.06712  1.06714  1.06698  1.06714  1.067727   
2023-02-10 16:57:00+00:00  1.06714  1.06724  1.06710  1.06714  1.067631   
2023-02-10 16:58:00+00:00  1.06714  1.06715  1.06705  1.06714  1.067546   
2023-02-10 16:59:00+00:00  1.06714  1.06718  1.06683  1.06688  1.067538   
2023-02-10 17:00:00+00:00  1.06688  1.06702  1.06686  1.06698  1.067511   
2023-02-10 17:01:00+00:00  1.06698  1.06718  1.06698  1.06716  1.067465   
2023-02-10 17:02:00+00:00  1.06718  1.06732  1.06716  1.06724  1.067424   
2023-02-10 17:03:00+00:00  1.06721  1.06724  1.06708  1.06708  1.067399   
2023-02-10 17:04:00+00:00  1.06708  1.06712  1.06694  1.06700  1.067357   
2023-02-10 17:05:00+00:00  1.06698  1.06709  1.06698  1.06709  1.067327   
2023-02-10 17:06:00+00:00  1.06708  1.06714  1.06706  1.06710  1.067291   
2023-02-10 17:07:00+00:00  1.06712  1.06724  1.06705  1.06724  1.067277   
2023-02-10 17:08:00+00:00  1.06722  1.06728  1.06704  1.06713  1.067274   
2023-02-10 17:09:00+00:00  1.06714  1.06715  1.06704  1.06710  1.067275   
2023-02-10 17:10:00+00:00  1.06710  1.06716  1.06696  1.06698  1.067277   
2023-02-10 17:11:00+00:00  1.06698  1.06702  1.06688  1.06688  1.067269   
2023-02-10 17:12:00+00:00  1.06686  1.06694  1.06686  1.06694  1.067273   
2023-02-10 17:13:00+00:00  1.06694  1.06694  1.06662  1.06664  1.067327   
2023-02-10 17:14:00+00:00  1.06666  1.06690  1.06666  1.06690  1.067325   
2023-02-10 17:15:00+00:00  1.06690  1.06694  1.06676  1.06680  1.067327   
2023-02-10 17:16:00+00:00  1.06682  1.06706  1.06678  1.06696  1.067315   
2023-02-10 17:17:00+00:00  1.06694  1.06700  1.06692  1.06698  1.067302   
2023-02-10 17:18:00+00:00  1.06702  1.06702  1.06683  1.06689  1.067288   
2023-02-10 17:19:00+00:00  1.06688  1.06703  1.06684  1.06690  1.067287   
2023-02-10 17:20:00+00:00  1.06688  1.06698  1.06679  1.06694  1.067287   
2023-02-10 17:21:00+00:00  1.06694  1.06698  1.06686  1.06697  1.067267   
2023-02-10 17:22:00+00:00  1.06696  1.06702  1.06692  1.06696  1.067228   
2023-02-10 17:23:00+00:00  1.06691  1.06705  1.06690  1.06699  1.067219   
2023-02-10 17:24:00+00:00  1.06698  1.06704  1.06696  1.06700  1.067219   
2023-02-10 17:25:00+00:00  1.06700  1.06704  1.06693  1.06694  1.067206   
2023-02-10 17:26:00+00:00  1.06696  1.06706  1.06692  1.06705  1.067199   
2023-02-10 17:27:00+00:00  1.06707  1.06714  1.06694  1.06700  1.067151   
2023-02-10 17:28:00+00:00  1.06696  1.06708  1.06694  1.06702  1.067130   
2023-02-10 17:29:00+00:00  1.06702  1.06717  1.06696  1.06717  1.067148   
